-1.88	-0.4	10.68
-1.93	-0.4	10.6
-1.88	-0.31	10.66
-1.83	-0.36	10.69
-1.84	-0.3	10.68
-1.89	-0.18	10.69
-1.82	-0.17	10.73
-1.84	-0.1	10.51
-1.9	-0.08	10.73
-1.85	0	10.62
-1.79	-0.2	10.72
-1.82	-0.22	10.55
-1.79	-0.26	10.72
-1.85	-0.73	10.97
-1.65	-0.56	10.41
-1.73	-0.41	10.98
-1.74	-0.28	10.21
-1.77	-0.53	10.86
-2.12	-0.92	10.91
-1.89	-0.19	10.43
-2.41	1.09	11.06
-1.96	1.56	10.37
-2.38	0.77	10.47
-2.36	0.73	10.54
-2.25	0.47	10.52
-2.19	0.32	10.67
-2.24	0.11	10.6
-2.2	0.03	10.55
-2.2	0.18	10.7
-2.16	0.21	11.08
-2.26	0.39	10.64
-2.46	0.21	10.42
-2.42	0.08	10.45
-2.34	-0.09	10.68
-2.54	-0.03	10.59
-2.65	0.03	10.4
-2.65	-0.12	10.42
-2.64	-0.28	10.44
-2.68	-0.42	10.42
-2.82	-0.44	10.44
-2.8	-0.41	10.34
-2.87	-0.43	10.44
-2.92	-0.38	10.47
-3	-0.38	10.42
-3	-0.59	10.38
-3.01	-0.54	10.13
-3.12	-0.73	10.25
-3.12	-0.81	10.25
-3.16	-0.92	10.15
-3.23	-0.85	10.36
-3.36	-0.69	10.02
-3.41	-0.86	10.18
-3.43	-0.92	10.14
-3.47	-0.92	10.02
-3.45	-1.06	10.01
-3.5	-1.1	10.02
-3.46	-1.14	10.02
-3.54	-1.11	10.07
-3.54	-0.99	10.03
-3.64	-1.01	9.9
-3.63	-1.14	9.91
-3.57	-1.28	10.11
-3.61	-1.18	9.79
-3.66	-1.06	10.13
-3.63	-1.07	9.97
-3.55	-1.19	10.22
-3.63	-1.19	9.96
-3.61	-1.26	9.89
-3.57	-1.25	10.27
-3.64	-1.15	9.98
-3.65	-1.15	9.83
-3.54	-1.24	10.19
-3.58	-1.09	10.08
-3.57	-1.16	9.98
-3.58	-1.21	9.88
-3.53	-1.25	10.18
-3.47	-1.02	10.21
-3.59	-1.01	9.99
-3.47	-1.12	10.1
-3.42	-1.17	10.03
-3.49	-1.1	10.28
-3.46	-1.04	10.27
-3.52	-1.04	9.93
-3.48	-1.19	10.06
-3.44	-1.06	10.26
-3.5	-0.93	10.11
-3.49	-0.98	10.08
-3.42	-1.09	10
-3.41	-1.14	10.09
-3.43	-1.08	10.14
-3.38	-1.06	10.2
-3.32	-1.02	10.35
-3.39	-0.89	10.22
-3.35	-0.97	10.02
-3.33	-1.12	9.87
-3.31	-1.27	9.81
-3.3	-1.15	10.15
-3.3	-0.91	10.27
-3.27	-0.58	10.16
-3.24	-0.81	10.15
-3.12	-0.99	10.33
-3.1	-0.93	10.16
-3.02	-0.78	10.25
-3.01	-0.68	10.34
-3.01	-0.59	10.31
-2.91	-0.64	10.46
-2.89	-0.49	10.33
-2.78	-0.47	10.53
-2.79	-0.51	10.38
-2.68	-0.53	10.3
-2.7	-0.47	10.43
-2.65	-0.33	10.49
-2.58	-0.31	10.55
-2.58	-0.32	10.52
-2.62	-0.26	10.41
-2.46	-0.31	10.47
-2.5	-0.34	10.48
-2.55	-0.09	10.48
-2.54	-0.06	10.46
